Student_ID,Age,Gender,Current_Semester,CGPA,Attendance_Percentage,Failed_Courses,Credits_Completed,Fee_Delay_Indicator,Family_Background_Score,Learning_Disability_Flag,LMS_Login_Count,Assignment_Submission_Rate,Dropout_Status
STU2024000,19,Male,5,8.25,72.9,0,87,0,2,0,62,81.1,0
STU2024001,19,Female,1,9.02,68.0,0,0,0,9,0,60,76.7,0
STU2024002,24,Male,8,4.91,66.6,1,158,0,1,0,31,69.5,1
STU2024003,24,Female,5,8.4,66.8,0,84,0,6,0,52,54.1,0
STU2024004,23,Female,5,6.6,70.6,0,81,0,9,0,37,90.3,0
STU2024005,19,Female,6,7.49,87.3,0,118,0,1,0,25,96.2,0
STU2024006,19,Male,2,8.61,77.6,0,32,0,6,0,47,58.4,0
STU2024007,22,Male,3,6.69,80.2,0,57,0,3,0,14,81.6,0
STU2024008,21,Female,1,6.48,84.2,0,7,0,6,0,70,83.2,1
STU2024009,23,Male,8,6.56,80.0,0,152,0,8,0,69,72.0,0
STU2024010,22,Female,7,8.72,95.3,0,131,0,3,0,48,68.8,1
STU2024011,18,Male,3,8.69,74.5,0,60,1,10,0,81,24.9,0
STU2024012,25,Female,1,7.63,70.5,0,3,0,9,0,51,59.3,0
STU2024013,23,Male,5,5.26,62.9,0,93,0,5,0,39,76.5,0
STU2024014,19,Female,4,7.65,89.5,0,64,0,3,0,35,50.5,0
STU2024015,18,Female,8,7.06,75.1,0,140,1,5,0,45,65.4,0
STU2024016,19,Male,8,7.26,81.1,0,142,0,9,0,87,75.5,0
STU2024017,25,Male,5,4.99,75.9,0,96,0,7,0,99,81.0,0
STU2024018,21,Female,7,8.01,74.9,0,140,0,9,0,65,47.2,0
STU2024019,19,Female,1,6.14,96.1,0,18,0,10,0,77,63.0,1
STU2024020,18,Male,2,10.0,88.1,0,21,0,2,0,50,86.0,0
STU2024021,25,Male,3,8.21,84.3,0,58,0,4,0,46,83.5,0
STU2024022,21,Male,2,6.96,83.3,0,33,0,7,0,70,94.6,0
STU2024023,19,Male,7,7.78,53.4,0,130,0,2,0,73,73.9,1
STU2024024,25,Male,7,6.48,78.5,0,125,0,4,0,55,63.3,1
STU2024025,19,Male,1,5.67,57.1,1,2,0,4,0,63,90.4,0
STU2024026,21,Female,1,8.73,100.0,0,5,0,7,0,45,51.1,0
STU2024027,25,Female,7,7.14,75.2,0,137,0,8,0,79,33.4,0
STU2024028,18,Male,6,5.89,82.2,0,101,1,9,0,45,80.9,0
STU2024029,18,Male,3,8.61,62.3,0,42,0,4,0,19,55.4,0
STU2024030,21,Male,2,7.76,80.8,0,33,0,10,0,32,59.3,0
STU2024031,21,Female,4,7.58,91.2,0,68,0,5,0,71,75.8,0
